"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"7979","ANA GABRIELA",NULL,"1636","4201643792-40",NULL,"6082","GE_RMG","2",NULL,NULL,"2024-01-17","2024-01-17","HVHV307164-01",NULL,"HV307164-XX",NULL,"0",NULL
"7980","ANA GABRIELA",NULL,"1636","4201643792-40",NULL,"6083","GE_RMG","2",NULL,NULL,"2024-01-17","2024-01-17","HVHV30716401-1",NULL,"HV307164-XX",NULL,"0",NULL
"7981","ANA GABRIELA",NULL,"1636","4201643792-40",NULL,"6084","GE_RMG","2",NULL,NULL,"2024-01-17","2024-01-17","HVHV30716401-2",NULL,"HV307164-XX",NULL,"0",NULL
"7982","ANA GABRIELA",NULL,"1635","4201643792-20",NULL,"6081","GE_RMG","13",NULL,NULL,"2024-01-23","2024-01-19","HVHV400252-01",NULL,"HV400252-01",NULL,"0",NULL
"7983","ANA GABRIELA",NULL,"1725","4201652739-20",NULL,"6078","GE_RMG","1",NULL,NULL,"2024-02-03",NULL,"HVHV307164-02",NULL,"HV307164-XX","SIM","0",NULL
"7984","ANA GABRIELA",NULL,"1725","4201652739-20",NULL,"6079","GE_RMG","1",NULL,NULL,"2024-02-03",NULL,"HVHV30716402-1",NULL,"HV307164-XX","SIM","0",NULL
"7985","ANA GABRIELA",NULL,"1725","4201652739-20",NULL,"6080","GE_RMG","1",NULL,NULL,"2024-02-03",NULL,"HVHV30716402-2",NULL,"HV307164-XX","SIM","0",NULL
"7986","ANA GABRIELA",NULL,"1650","4201647205-20",NULL,"6072","GE_RMG","9",NULL,NULL,"2024-01-12",NULL,"HVHV307164-02",NULL,"HV307164-XX",NULL,"0",NULL
"7987","ANA GABRIELA",NULL,"1650","4201647205-20",NULL,"6073","GE_RMG","9",NULL,NULL,"2024-01-12",NULL,"HVHV30716402-1",NULL,"HV307164-XX",NULL,"0",NULL
"7988","ANA GABRIELA",NULL,"1650","4201647205-20",NULL,"6074","GE_RMG","9",NULL,NULL,"2024-01-12",NULL,"HVHV30716402-2",NULL,"HV307164-XX",NULL,"0",NULL
"7989","ANA GABRIELA",NULL,"1649","4201647205-10",NULL,"6069","GE_RMG","10",NULL,NULL,"2024-01-19","2024-01-19","HVHV400318-01",NULL,"HV400318-XX",NULL,"0",NULL
